fold,prune_method,min_val,max_val,prune_bias,performance_Dice,performance_FN,performance_FP,performance_IoU,performance_TN,performance_TP,performance_n_pred,performance_n_ref,weights_zeros,weights_total,weights_percentage,biases_zeros,biases_total,biases_percentage,total_zeros,total_total,total_percentage
3,RangePruning,-1e-2,1e-2,False,0.04688081337225399,6514.733333333334,82.92666666666668,0.0248325244744237,528276.2633333333,144.95666666666668,227.88333333333333,6659.69,20021488,20610080,97.14,4,10996,0.04,20021492,20621076,97.09
3,RangePruning,-9e-3,9e-3,True,0.17595962020038644,5975.123333333333,126.17,0.10939899816191993,528233.02,684.5666666666666,810.7366666666667,6659.69,19751845,20610080,95.84,6591,10996,59.94,19758436,20621076,95.82
3,RangePruning,-2e-3,2e-3,False,0.9243457172008092,502.37999999999994,372.96000000000004,0.8624576395098144,527986.23,6157.31,6530.27,6659.69,9344894,20610080,45.34,4,10996,0.04,9344898,20621076,45.32
3,RangePruning,-6e-3,6e-3,False,0.7960375658737909,1632.7333333333333,462.8533333333333,0.6891760103319147,527896.3366666668,5026.956666666667,5489.81,6659.69,17972757,20610080,87.2,4,10996,0.04,17972761,20621076,87.16
3,RangePruning,-7e-3,7e-3,True,0.6074825882768047,3275.3199999999997,390.51666666666665,0.47962327770471647,527968.6733333333,3384.3700000000003,3774.8866666666668,6659.69,18789610,20610080,91.17,6462,10996,58.77,18796072,20621076,91.15
3,RangePruning,-9e-3,9e-3,False,0.17594414780760623,5974.279999999999,129.93,0.10931044348534624,528229.2599999999,685.41,815.34,6659.69,19751845,20610080,95.84,4,10996,0.04,19751849,20621076,95.78
3,RangePruning,-1e-2,1e-2,True,0.046274728429412715,6516.623333333333,79.14333333333333,0.02451072857645295,528280.0466666667,143.0666666666667,222.21000000000004,6659.69,20021488,20610080,97.14,6661,10996,60.58,20028149,20621076,97.12
3,RangePruning,-1e-3,1e-3,False,0.9244439837809436,485.34999999999997,387.7266666666667,0.8626474494937088,527971.4633333334,6174.34,6562.066666666666,6659.69,5002078,20610080,24.27,4,10996,0.04,5002082,20621076,24.26
3,RangePruning,-8e-3,8e-3,True,0.49176468839678805,4302.42,318.47,0.3542137540314643,528040.7200000001,2357.27,2675.74,6659.69,19359760,20610080,93.93,6539,10996,59.47,19366299,20621076,93.92
3,RangePruning,-5e-3,5e-3,False,0.9137868165343681,581.5,405.3666666666666,0.8456911516696519,527953.8233333334,6078.19,6483.556666666667,6659.69,16803401,20610080,81.53,4,10996,0.04,16803405,20621076,81.49
3,RangePruning,-3e-3,3e-3,True,0.9229623858773808,520.8866666666667,374.26666666666665,0.8600960102414357,527984.9233333333,6138.803333333333,6513.07,6659.69,12705839,20610080,61.65,5915,10996,53.79,12711754,20621076,61.64
3,RangePruning,-6e-3,6e-3,True,0.7956257634448516,1638.2733333333333,464.99333333333334,0.6885626055778019,527894.1966666667,5021.416666666667,5486.41,6659.69,17972757,20610080,87.2,6399,10996,58.19,17979156,20621076,87.19
3,RangePruning,-5e-3,5e-3,True,0.9137057747253938,579.93,408.24,0.8455738575946793,527950.9500000001,6079.759999999999,6488.0,6659.69,16803401,20610080,81.53,6293,10996,57.23,16809694,20621076,81.52
3,RangePruning,0e+,0e+,False,0.9242436857545998,487.28,387.8233333333333,0.8623225807243897,527971.3666666667,6172.41,6560.233333333334,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
3,RangePruning,-7e-3,7e-3,False,0.6119630126265685,3245.93,392.4666666666667,0.48366426219590525,527966.7233333334,3413.7599999999998,3806.226666666667,6659.69,18789610,20610080,91.17,4,10996,0.04,18789614,20621076,91.12
3,RangePruning,-3e-3,3e-3,False,0.922976086042384,521.5500000000001,373.5733333333333,0.860118366867202,527985.6166666667,6138.139999999999,6511.713333333333,6659.69,12705839,20610080,61.65,4,10996,0.04,12705843,20621076,61.62
3,RangePruning,0e+,0e+,True,0.9242461201156994,487.24,387.81,0.8623269098521291,527971.38,6172.45,6560.259999999999,6659.69,0,20610080,0.0,4,10996,0.04,4,20621076,0.0
